rigId,name,profitability,powerusage_1,powerusage_2,powerusage_3,powerusage_4,powerusage_5,powerusage_6,totalpowerusage,status,totalDevices,activeDevices
0-BcBfcyVrlU29GfM6uyRVlw,Saleh3,0.00033696,-1.0,73.0,74.0,84.0,76.0,75.0,381.0,MINING,6,6
0-6rN5JGOVDkCjaRy379aKow,Adrian1,0.00033696,-1.0,73.0,76.0,81.0,66.0,77.0,372.0,MINING,6,6
0-P6ceqve9l0eaImNsJKHLPQ,Adrian6,0.0005183999999999999,-1.0,98.0,102.0,103.0,103.0,103.0,508.0,MINING,6,6
0-lgPVwLhcX0aQX6fALFQyKg,Saleh4,0.0,,,,,,,0.0,OFFLINE,0,0
0-DaTez0ZIP0CScukASRMcKQ,Saleh5,0.0006336,-1.0,100.0,105.0,97.0,96.0,96.0,493.0,MINING,6,6
0-sTX6GiNMcEe7q6uQKe4p-Q,Adrian2,0.00039455999999999996,-1.0,98.0,102.0,92.0,104.0,98.0,493.0,MINING,5,5
0-7w6MAyMhTkCtleLpzcgUdA,Saleh1,0.00025632,-1.0,125.0,94.0,78.0,77.0,77.0,450.0,MINING,6,6
0-Jf4mMKtxaEiE2OPmiFa07A,Saleh6,0.00044351999999999993,-1.0,102.0,105.0,104.0,101.0,95.0,506.0,MINING,6,6
0-7Cag4DJrHkKRA-gRoB9CyA,Saleh2,0.0003168,-1.0,76.0,84.0,78.0,69.0,76.0,382.0,MINING,6,6
0-dzp5SuJnGUChUbftJR1u7w,Adrian3,0.0005529599999999999,-1.0,103.0,99.0,110.0,101.0,96.0,508.0,MINING,6,6
0--gxXYbpBgkCJaX1UFmN2jA,Adrian5,0.0005817600000000001,-1.0,105.0,102.0,102.0,93.0,104.0,505.0,MINING,6,6
0-nVT0vrLqeEi1xHrRCmD42Q,Adrian4,0.00041472000000000004,-1.0,109.0,100.0,98.0,106.0,107.0,519.0,MINING,6,6
