Date,Amount Invested,Amount Reinvested,Depreciation Rigs,Total Value Rigs
2021-05-14,,,-0.0,0.0
2021-05-15,10000.0,,-5.47945205479452,9994.5205
2021-05-16,,,-5.47945205479452,9989.041
2021-05-17,,,-5.47945205479452,9983.562
2021-05-18,,,-5.47945205479452,9978.082
2021-05-19,,,-5.47945205479452,9972.603
2021-05-20,30000.0,,-21.91780821917808,39950.684
2021-05-21,,,-21.91780821917808,39928.766
2021-05-22,60000.0,,-54.7945205479452,99873.97
2021-05-23,,,-54.7945205479452,99819.18
2021-05-24,,,-54.7945205479452,99764.38
2021-05-25,,,-54.7945205479452,99709.586
2021-05-26,150000.0,,-136.986301369863,249572.61
2021-05-27,,,-136.986301369863,249435.61
2021-05-28,,,-136.986301369863,249298.62
2021-05-29,,,-136.986301369863,249161.64
2021-05-30,,,-136.986301369863,249024.66
2021-05-31,,,-136.986301369863,248887.67
2021-06-01,,,-136.986301369863,248750.69
2021-06-02,,,-136.986301369863,248613.7
2021-06-03,,,-136.986301369863,248476.72
2021-06-05,,,-136.986301369863,248339.72
2021-06-06,,,-136.986301369863,248202.73
2021-06-07,,,-136.986301369863,248065.75
2021-06-08,,,-136.986301369863,247928.77
2021-06-09,,,-136.986301369863,247791.78
2021-06-10,,,-136.986301369863,247654.8
2021-06-11,,,-136.986301369863,247517.81
2021-06-12,,,-136.986301369863,247380.83
2021-06-13,,,-136.986301369863,247243.83
2021-06-14,,,-136.986301369863,247106.84
2021-06-15,,,-136.986301369863,246969.86
2021-06-16,,,-136.986301369863,246832.88
2021-06-17,,,-136.986301369863,246695.89
2021-06-18,,,-136.986301369863,246558.9
2021-06-19,,,-136.986301369863,246421.92
2021-06-20,,,-136.986301369863,246284.94
2021-06-21,,,-136.986301369863,246147.94
2021-06-22,,,-136.986301369863,246010.95
2021-06-23,,,-136.986301369863,245873.97
2021-06-24,,,-136.986301369863,245736.98
2021-06-25,,,-136.986301369863,245600.0
2021-06-26,,,-136.986301369863,245463.02
2021-06-27,,,-136.986301369863,245326.03
2021-06-28,,,-136.986301369863,245189.05
2021-06-29,11000.0,,-143.013698630137,256046.03
2021-06-30,,,-143.013698630137,255903.02
2021-07-01,,,-143.013698630137,255760.0
2021-07-02,,,-143.013698630137,255616.98
2021-07-05,,,-143.013698630137,255473.97
2021-07-06,0.0,0.0,-143.013698630137,255330.95
2021-07-07,,,-143.013698630137,255187.94
2021-07-08,,,-143.013698630137,255044.94
